Sigla,Código,City,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AC,1200013,Acrelândia,,,,,0,0,0,0,4026.7884,43136.9,95701.41,114691.27,127655.27,235529.26,237428.2,321454.68,447748.54,562810.19,692083.77,852091.14,,1217679.52,1321593.32,1536119.59,1634159.6,2000723.07,2091112.37,2715365.96,2852090.1,3196657.24,3528563.8,3596774.29,4346073.5
AC,1200054,Assis Brasil,4.49E-05,0.000173387,0.000548876,0.003601513,0,0,19.64993502,124.902407,8064.3555,83030.6,188779.51,225487.14,255447.62,239338.1,245013.76,357491.54,447511.04,551814.67,681017.87,833990.64,1084202.55,1179182.24,1310451.61,1605806.79,1551264.98,2152910.34,2225446.83,2902179.92,3119527.4,3390351.47,3998013.59,3747975.45,4545170.72
AC,1200104,Brasiléia,0.000195687,0.000742336,0.001748393,0.01292528,0,0,68.71392327,504.723387,24614.1626,218989,496273.08,581045.1199,639930.43,848744.98,876147.15,1278057,1566478.59,1956008.71,2391875.29,2901787.9,3789550.03,4157043.04,4685824.25,5208801.43,5496698.63,6777956.22,7034598.8,9135797.28,9541890.83,10795289.31,11830736.46,12079301.4,14606341.84
AC,1200138,Bujari,,,,,0,0,0,0,4024.7288,42867.8,95510.2,114691.37,135144.8,229777.2,244860.77,309019.37,374697.61,472453.49,681201.16,835480.72,1087807.37,1187019.89,1287709.62,1508231.77,1561687.81,2005029.67,2076523.17,2705022.94,2892449.3,3185411.07,3353976.25,3526711.01,4279457
AC,1200179,Capixaba,,,,,0,0,0,0,3687.6443,0,95949.14,155375.1,128843.64,,,375506.97,444211.97,470565.99,680635,836846.72,1078667.66,1186546.76,1320047.98,1492741.27,1566379.68,1944523.88,2015050.2,2614257.68,2785649.96,3052713.24,3332158.95,3387323.12,4096486.8
AC,1200203,Cruzeiro do Sul,0.000187204,0.000829139,0.001972277,0.012360348,0,16.3706596,72.7242564,827.1078264,41453.1786,432920.8,1008864.84,1199995.71,1276253.63,1929805.32,2017659.18,2949893.33,3060794.42,4440312.81,5407612.34,6617169.11,8557086.55,9336138.98,10193452.8,11813055.51,12456556.28,14951561.32,15506357.45,20145192.73,21603480.55,23419982.7,26125588.86,26535853.27,31970295.71
AC,1200252,Epitaciolândia,,,,,0,0,0,0,8049.6967,82214.2,192107.4499,229423.13,257240.13,243305.2,261201.27,379974.85,469785.17,505823.12,733242.98,913183.28,,1288652.26,1462115.21,1664447.41,1739459.33,2325024.86,2441153.35,3160702.34,3329805.49,,4193053.4,4308809.52,5175274.38
AC,1200302,Feijó,0.00017256,0.000650506,0.001685029,0.01089334,0,0,52.71180469,311.7120114,18204.1083,173503.2,289160.2099,343032.5299,391354.09,559361.26,573761.36,837490.9,,,1578126.82,1943509.71,2513306.12,2810282.44,2898769.4,3479708.65,3587792.28,0,0,,6214810.6,8170000,7607583.89,7710374.46,9338331.13
AC,1200328,Jordão,,,,,0,0,0,0,4024.7288,40219.8,96714.01,111885.24,129912.93,228662.21,243987.47,362757.78,440635.47,469042.71,675304.88,826926,1075943.76,1168975.67,1289357.81,1448849.77,1514909.7,2003254.04,2065163.96,2694263.81,2948859.4,3133914.42,3418449.6,3455735.25,4200640
AC,1200336,Mâncio Lima,4.35E-05,0.000162201,0.000549294,0.00242735,0,0,19.66099651,187.1733096,,86038.7,191268.07,225722.24,256279.99,342865.04,349667.64,520689.55,539080.72,794722.08,971838.22,1192002.85,1549323.12,1400514.51,1828645.05,2109581.97,2226198.97,2926202.25,3022893.1,3933997.38,4146235.69,4607310.26,5026817.24,5099494.6,6187980.94
