Sigla,Código,City,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AC,1200013,Acrelândia,,,,,,,,,,,,,14437,2957,7039,3374,3736,4886,4497,4236,7018,6785,7042,11531,8343,10843,9126,6747,4447,5532
AC,1200054,Assis Brasil,765,467,506,978,854,1058,1064,1072,1236,1236,1236,1216,1211,1202,1234,767,884,884,1163,1205,937,1050,965,1003,1175,1394,1324,2035,1196,1242
AC,1200104,Brasiléia,7648,8203,7803,9731,8624,10762,16916,15872,22320,22779,25965,27434,17680,28200,32633,5358,5863,10059,10462,10349,8516,9880,7845,9270,9548,9393,7522,3559,2991,3071
AC,1200138,Bujari,,,,,,,,,,,,,6115,1226,1279,1310,1414,2051,2145,2057,1974,954,3558,3619,4731,5893,6906,3802,2133,2372
AC,1200179,Capixaba,,,,,,,,,,,,,5256,5519,773,1212,1308,1312,3149,2964,8887,4252,2938,6018,6450,5438,5705,3495,3220,3265
AC,1200203,Cruzeiro do Sul,8305,11008,8296,9880,8965,9143,9350,9605,9716,9981,10623,9137,3955,4358,5159,7695,9142,8522,8868,9184,9571,10440,10571,10473,11975,12005,12198,14657,12895,13086
AC,1200252,Epitaciolândia,,,,,,,,,,,,,11860,1700,2173,2153,2344,2318,5033,6960,9438,7852,7088,9933,7509,7797,6548,4302,2359,2407
AC,1200302,Feijó,4799,4539,4700,4849,3889,3933,4560,4310,4233,4245,4180,2901,2937,2571,5188,5184,5208,5192,5168,5105,2995,4026,4553,5087,4707,5484,5626,6823,6090,6140
AC,1200328,Jordão,,,,,,,,,,,,,569,549,722,1454,1254,1292,1411,1629,1667,1788,2008,1538,1549,1739,2285,2202,1390,1066
AC,1200336,Mâncio Lima,1783,2454,1646,2245,1959,1971,2041,2075,2124,2178,2316,2182,2120,2177,2343,2103,1664,1881,1926,1976,2261,2280,2469,2545,2571,2654,2739,2583,1833,1859
AC,1200344,Manoel Urbano,986,1048,923,1112,1249,1136,1113,1207,1129,2165,890,917,289,412,411,1043,1178,1182,973,1031,1314,1269,1191,1359,1139,1204,1218,1780,1636,1712
AC,1200351,Marechal Thaumaturgo,,,,,,,,,,,,,1587,1646,1450,2645,2774,2700,2730,2782,2725,3055,3037,3496,3267,3596,3717,3046,3148,3208
AC,1200385,Plácido de Castro,2259,2730,1985,9824,9105,9590,10386,10274,9412,8691,28901,28909,13002,23298,15289,4221,4779,7568,4390,5467,4469,5231,5897,10555,8961,4928,5803,4514,4208,4338
AC,1200393,Porto Walter,,,,,,,,,,,,,1600,1654,1200,1607,1695,1690,1649,1541,1775,1854,1981,2355,2234,2413,2633,2068,1897,1918
AC,1200401,Rio Branco,17403,19335,15887,23608,20274,20788,21142,22070,25655,21911,21885,21890,8952,21513,18263,7809,7870,7884,7658,7661,3051,6928,5645,5771,4960,6750,7564,10996,4581,4651
AC,1200427,Rodrigues Alves,,,,,,,,,,,,,1753,1805,2131,4371,3706,3799,4019,4178,3630,3760,3909,4102,4404,4955,5098,3965,4792,4903
AC,1200435,Santa Rosa do Purus,,,,,,,,,,,,,78,151,115,182,194,194,308,313,312,179,297,335,391,414,416,664,503,507
AC,1200450,Senador Guiomard,5091,7031,5052,7758,6631,5140,5733,5739,8075,5266,4812,4749,4361,8208,9266,4124,4238,3601,4329,4535,4484,3348,5424,5550,5383,6892,6842,4847,3895,4144
AC,1200500,Sena Madureira,7562,7788,6550,7554,7558,8925,8749,9970,9734,12788,13461,10088,8476,6680,3861,5455,5870,6153,6996,13762,12989,14740,14442,13973,12146,10018,10148,11097,9544,9763
AC,1200609,Tarauacá,4590,3867,3199,3666,3461,3373,2848,2504,2643,2789,2160,2038,1559,1333,2209,4105,4195,4081,4472,5835,5948,6891,7817,7969,7244,8127,8422,9504,6619,6685
AC,1200708,Xapuri,5782,5934,4156,5890,6321,6203,5435,5569,5570,8391,2080,1553,1518,3678,3580,3249,3325,2715,2821,2928,2709,1056,4236,3898,3686,4040,4132,3029,3048,3101
AC,1200807,Porto Acre,,,,,,,,,,,,,5612,3093,3404,3785,3857,2665,7619,9469,5910,6287,6902,7344,6504,6620,6604,4673,4371,4233
AL,2700102,Água Branca,2517,12965,1479,9934,13949,15994,9648,15511,18213,10066,6241,3361,1793,10797,12015,11919,9025,6565,3394,3509,6974,6860,2244,3026,8420,7590,7707,7290,5539,5537
AL,2700201,Anadia,2800,3033,4356,6247,7635,6203,11743,10672,12293,14019,11517,11060,8656,11603,11954,12037,11283,11465,11468,11340,11294,11394,10856,10725,9081,8542,8631,8989,8918,8918
AL,2700300,Arapiraca,45703,52000,31685,38007,30335,34375,34419,34234,21236,23479,29335,28612,33747,37982,30982,31530,33909,34249,34462,24870,20990,18970,8935,16111,13615,12535,11475,13026,13016,13016
AL,2700409,Atalaia,35465,36548,33883,35067,33853,28606,43319,28067,17125,18411,16082,14579,10359,15017,16046,10746,10992,10582,7954,12432,12817,13845,13620,18790,19179,18670,19100,20676,20655,20647
AL,2700508,Barra de Santo Antônio,2301,3092,5055,6314,6777,5799,7629,4296,5570,5568,4894,4773,1405,1750,1711,1754,2087,3476,3472,3985,3985,3988,3807,2833,2834,2766,2799,2846,2830,2849
AL,2700607,Barra de São Miguel,1990,2091,2237,2181,2330,1999,1468,1366,1637,1632,1435,1380,794,1021,1007,1029,1198,1189,1184,1603,1529,1623,2404,1492,1417,1350,1485,1418,1410,1417
AL,2700706,Batalha,200,5519,69,3185,4721,4283,1531,1635,2470,1917,3600,2966,80,3420,5350,4250,5550,2850,3680,3940,4177,4160,1056,4090,2140,2140,2140,2210,2040,2040
AL,2700805,Belém,814,1715,936,714,635,607,394,684,501,393,435,523,526,528,530,540,551,457,416,351,329,305,375,441,526,566,596,498,550,550
AL,2700904,Belo Monte,478,7231,170,2491,2752,3829,1214,1489,1344,1420,3310,2600,445,3680,4280,3400,4460,4356,4330,4400,2812,4250,50,4130,2050,2040,2040,2370,2100,2100
AL,2701001,Boca da Mata,16999,16143,15095,14537,14788,12531,26268,14076,16334,18919,16186,15083,10934,14877,15271,15291,14764,14874,14944,14834,14835,15020,14855,13738,12176,12155,12407,12867,12835,12834
AL,2701100,Branquinha,6042,6216,8525,12064,13209,11904,14265,11086,10975,12051,10048,9012,6729,9074,9368,9584,9600,9581,9582,8951,8845,4963,4853,5166,5275,5162,5256,5382,5349,5349
AL,2701209,Cacimbinhas,3056,12712,199,6337,7206,7109,2089,1693,1598,1404,1452,1560,1480,1470,1396,1357,1115,1076,982,755,810,960,60,1890,3696,4895,3565,4770,4637,4637
AL,2701308,Cajueiro,7662,7865,9768,9309,8436,6833,10231,6005,6422,6951,6278,6274,4477,6297,6593,4424,4599,6809,5561,5405,5492,5802,4700,2753,3191,3312,3454,3851,3844,3826
AL,2701357,Campestre,,,,,,,,,,,,,,,,,1025,1067,1026,3547,8770,7364,7218,3542,3075,2870,2918,3146,3144,3146
AL,2701407,Campo Alegre,10893,11050,14769,17660,19645,17015,20989,14525,16743,19043,16334,15058,11317,15397,15796,15821,15108,15288,15316,15373,15436,15566,15220,16550,15353,15724,16024,16618,16591,16607
AL,2701506,Campo Grande,1936,3066,1174,1806,1959,3408,2231,2018,1364,1479,1376,1083,1029,1279,1312,1187,1289,1435,1276,1185,1103,763,759,1088,1093,993,1006,1041,974,974
AL,2701605,Canapi,1040,12435,20,11175,17870,12520,4040,5535,17150,6200,5300,500,620,13030,11890,12540,10420,6975,2390,3950,3840,4900,745,2160,6288,6350,7108,6730,5235,5235
AL,2701704,Capela,18386,19669,18136,16771,17601,14396,14596,8501,15133,15885,14140,12979,9377,13396,14199,9470,9738,9628,9045,12027,12260,10420,8394,7806,7842,7951,8171,8443,8427,8436
AL,2701803,Carneiros,2160,4948,930,4048,4249,5627,1033,2394,2660,2370,4590,1665,1402,4476,4524,2785,4630,1617,1820,455,525,3580,365,3888,3080,2076,1475,1670,1242,1242
AL,2701902,Chã Preta,1746,1437,1830,1582,1437,2196,4874,3930,2595,2386,2381,1367,1662,2231,1636,1350,1532,1091,767,804,1196,938,772,790,825,768,768,803,785,772
AL,2702009,Coité do Nóia,4888,7355,3446,5984,6209,6723,5031,6230,4953,4203,5695,5115,4360,6356,5590,5020,5573,5638,5650,4990,2080,1800,2050,1410,2040,1990,2040,2140,1896,1896
AL,2702108,Colônia Leopoldina,13165,12433,10417,9286,8400,7147,11065,6933,8635,9360,8198,7641,5952,7666,7942,8172,8182,8140,8199,8347,8255,7048,6892,7023,6868,7035,7173,7820,7774,7729
AL,2702207,Coqueiro Seco,811,834,826,780,814,765,579,433,877,973,904,883,662,827,829,845,734,749,748,693,700,794,732,483,422,420,518,565,565,565
AL,2702306,Coruripe,44103,44595,48750,52600,62646,53265,99632,58848,58127,60433,53238,51057,36652,48552,49848,50347,54322,54111,48899,49287,46752,49628,50020,46308,47898,48905,50016,55740,55289,55264
AL,2702355,Craíbas,,,3920,4650,4920,10184,8433,9880,7720,3603,7160,7030,5490,9600,9505,8375,10900,10400,9360,8870,4870,4870,2747,4635,6068,7088,7408,6671,5710,5710
AL,2702405,Delmiro Gouveia,530,2295,,1370,6400,5950,2380,3800,6300,5300,2710,350,210,6070,4850,5940,4820,3275,1050,1800,1740,3803,225,1566,4853,5030,4537,4736,3674,3672
AL,2702504,Dois Riachos,2520,8348,1470,5152,5248,7680,2330,5265,2550,1690,1780,2060,2015,1978,1976,1959,2100,1878,1600,2750,3410,4010,630,3090,4521,6708,5980,6305,6075,6075
AL,2702553,Estrela de Alagoas,,,,,,,,,,,,,1407,1414,1354,1360,1157,1136,1134,1215,1945,2212,412,2244,4302,4958,4873,5098,5064,5194
AL,2702603,Feira Grande,5097,6453,4841,6863,6139,6997,4372,4400,2600,4321,5200,8000,7200,7550,6084,5500,5965,6165,5405,5080,3600,3350,3030,2600,2602,3740,3982,4345,3730,3730
AL,2702702,Feliz Deserto,2572,3368,3521,1892,2070,1873,2811,3010,3435,4098,3666,3490,1876,2426,2519,2458,2393,2546,2422,2428,2585,2584,2291,2591,3005,3055,3063,3377,3296,3291
AL,2702801,Flexeiras,17395,15240,12217,10919,9995,8223,10848,7848,8342,9180,8047,7576,6838,7763,8026,8206,8225,8234,8237,8100,8252,6137,6001,4652,4318,4690,4780,5716,5707,5722
AL,2702900,Girau do Ponciano,14301,16588,6870,15059,14550,15487,13826,11062,11390,9714,11700,8500,9700,13500,14960,14500,16123,16623,16122,15800,14580,14000,8400,13276,8826,8376,8416,9134,7891,7891
AL,2703007,Ibateguara,4896,5178,5716,5880,6661,5940,5300,3957,3992,4081,3405,2994,2149,3045,3410,3559,3617,3611,3643,4114,3634,3257,3132,3920,4039,3424,3484,3318,3308,3388
AL,2703106,Igaci,3383,10278,4850,9188,9797,7145,4584,11028,8879,6147,6142,6489,5997,5736,5687,5689,4594,4939,4015,4837,6252,4944,4600,8513,11588,10905,10591,10269,9851,9898
AL,2703205,Igreja Nova,3472,3593,4606,4270,5290,6215,9892,9212,8656,9786,9207,7994,8365,6339,9550,7123,10172,10289,10210,8780,9588,7434,5977,11920,10646,10267,10047,11471,10651,10651
AL,2703304,Inhapi,900,9440,30,9600,9880,18490,3590,4220,14160,7280,5390,500,650,13010,11910,12540,10420,6975,2390,4950,3502,5165,750,2210,6354,6210,6470,7215,5690,5690
AL,2703403,Jacaré dos Homens,108,3265,27,2063,1825,3077,779,1244,1450,1257,977,893,55,1200,1850,1480,1850,980,1850,1325,1146,1405,63,1360,1162,663,663,739,673,673
AL,2703502,Jacuípe,2621,3482,4254,4533,4839,4058,3610,2709,3093,3729,3301,3478,2824,4073,4347,4237,4897,4074,3856,3772,3977,3691,3158,3240,2858,2600,2629,2806,2650,2636
AL,2703601,Japaratinga,1279,1142,1764,1925,2604,2375,2956,2296,2495,2732,2335,2145,1926,2463,2514,2481,2349,2493,2499,2444,2477,2304,2099,2204,2280,2215,2130,2166,2108,2113
AL,2703700,Jaramataia,115,4268,20,1898,1327,2499,948,1250,2900,830,2920,2782,35,3400,3750,3120,3760,1030,2815,3640,2070,3720,36,3640,1920,1920,1920,2020,1815,1815
AL,2703759,Jequiá da Praia,,,,,,,,,,,,,,,,,,,,,12045,12255,12256,16940,16144,16380,16528,16203,16119,16117
