Sigla,Código,City,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AC,1200013,Acrelândia,,,,0,0,0,0,4024.7287,42867.8,95510.28,114691.27,127655.27,235201.93,234245.01,319235.73,440635.47,552251.69,675128.47,826926.49,,1168975.67,1258434.48,1444176.46,1514719.19,1861792.02,1913331.38,2497641.42,2591198,2894714.21,3164112.51,3202676.48,3896923
AC,1200054,Assis Brasil,0.000173387,0.000548876,0.003595932,0,0,19.64549844,124.0166131,8063.7649,0,188779.51,225487.14,255447.62,239338.1,244145.65,356772.16,444646.28,551814.67,675128.47,826926.49,1075943.76,1168975.67,1289357.81,1578977.78,1514719.19,2116382.69,2178254.15,2844016.07,2949979,3307425.79,3908367.14,3646212.74,4437465.4
AC,1200104,Brasiléia,0.000717641,0.001713402,0.012835595,0,0,68.11325229,497.1298621,24205.602,214423.5,477551.51,564200.5699,639930.43,826109.48,845485.99,1256236,1529260.95,1911640.63,2337693.71,2835723.58,3705553.37,4046454.19,4530085.15,4999072.35,5243258.65,6488791.66,6696659.71,8741744.93,9069193.67,10168099.49,11074393.85,11209367.69,13639231.86
AC,1200138,Bujari,,,,0,0,0,0,4024.7288,42867.8,95510.2,114691.37,135144.8,229777.2,242998.33,308475.86,373203.31,469427.51,675154.45,826926.49,1075943.76,1168975.67,1258434.48,1472227.57,1514719.19,1946655.59,2001638.97,2612917.14,2710792,3039256.11,3310148.5,3350492.34,4076781
AC,1200179,Capixaba,,,,0,0,0,0,3687.6443,0,95510.28,155375.1,128843.64,,,374559.74,441693.76,469042.71,675128,826926.49,1075943.76,1168975.67,1289357.81,1447980.9,1514719.19,1875935.94,1928049.27,2516854.03,2611130.45,2927518.77,3188451.86,3227312.44,3926900
AC,1200203,Cruzeiro do Sul,0.000765679,0.001883684,0.011998559,0,0,70.49932251,802.8708401,40344.2856,424520.5,956310.54,1128401.18,1276253.63,1828576.26,1877776.72,2791212.82,2881737.64,4244728.67,5193295.72,6360972.94,8276490.38,8992120.42,9680265.14,11109049.7,11651685.95,13953735.05,14335267.23,18713097.98,19818436.72,21362054.44,23710106.96,23995437.63,29189949.11
AC,1200252,Epitaciolândia,,,,0,0,0,0,8049.6967,82214.2,190909.34,225680.16,254032.62,240490.22,253528.01,376813.7,457582.99,485261.09,701094.97,862804.36,,1213936.25,1346759.05,1528851.71,1572977.6,2117270.44,2178254.15,2843468.69,2949979.47,,2396750.48,3646124.01,4436497.4
AC,1200302,Feijó,0.000640741,0.001670766,0.010798703,0,0,52.27320502,310.1748199,18147.0478,171835.4,286716.1599,338520.3,384074.04,552964.46,563470.83,837490.9,,,1558455.77,1920590.65,2482947.14,2764836.13,2824980.96,3397448.26,3499319.83,0,0,,5959756,7820000,7277458.81,7366194,8963787.53
AC,1200328,Jordão,,,,0,0,0,0,4024.7288,40219.8,96714.01,111885.24,129912.93,228662.21,243987.47,362757.78,440635.47,469042.71,675304.88,826926,1075943.76,1168975.67,1289357.81,1448849.77,1514909.7,2003254.04,2065163.96,2690038.81,2792354,3128676.04,3413719.28,3449419.83,4200640
AC,1200336,Mâncio Lima,0.000162201,0.000549294,0.00242735,0,0,19.66099651,185.9915714,,86038.7,191268.07,225704.4,256279.99,337518.33,345728.55,516374.4,532999.1,785274.81,960759.7,1176780.02,1531150.71,1376087.73,1790849.05,2055174.16,2155561.91,2833344.32,2914150.81,3804099.98,3946594.15,4424799.35,4819186.78,4877922.66,5935314.08
AC,1200344,Manoel Urbano,0.000163153,0.000532311,0.002581122,0,0,19.54242073,185.3300938,12095.6474,85819.7,191020.59,225680.16,255739.1,217197.09,207567.38,308483.94,374715.6,552338,675330.86,826926.49,1075943.76,1168975.67,1258434.48,1444238.75,1514719.19,2088094.86,214881826,2570736.3,2910114.91,3262730.82,3553541.76,3596852.04,4376544.74
AC,1200351,Marechal Thaumaturgo,,,,0,0,0,0,4024.8483,42949.6,95634.02,112940.24,127774.44,237910.29,258874.28,375022.05,452615.53,553038,675304.88,826926.49,1075943.76,1168975.67,1289362.99,1444222.96,1515067.95,2286109.83,2605193.01,2857508.57,3190484.18,3575595.38,3894292.32,3941755.67,4796213.39
AC,1200385,Plácido de Castro,0.000232591,0.000535728,0.003599568,0,0,39.54295007,320.4376425,16137.8432,128928.9,286902.1,335415.68,384220.42,620668.35,538539.9,968849.25,1200582.06,1486691.02,1818128.42,1876627.99,2896771.66,3147242.15,,3898504.07,4078090.08,4899365.58,5033533.26,6570718.21,6816844,7642835.22,8324049.85,8425502.72,10251906
AC,1200393,Porto Walter,,,,0,0,0,0,4024.8483,42867.8,95510.28,112840.24,127869.53,238437.85,244110.99,362857.68,440810.69,551814.67,675128.47,826926.49,1080943.76,1034966.3,1067451.89,1444176.46,1514953.81,2090479.01,2153835,2814114.17,3088455.95,3264383.99,3553541.76,3596852.04,4376544.74
AC,1200401,Rio Branco,0.002630623,0.006519787,,,,,,149201.1127,,4488984.49,5303485.63,6009869.03,7857848.55,7431467.75,11150886.12,15930665.87,19950224.86,24408489.42,29896573,38899504,41839683.67,45497245.8,52229916.2,54762923.57,65359080.67,67143212.6,87648000.96,90931123.66,101949164.4,111036010.2,112389308.4,136752034.7
AC,1200427,Rodrigues Alves,,,,,,,,4875.6509,42867.8,95415.56,112842.24,0,237964.92,244110.99,362857.68,451407.53,552338,675128.47,826938.72,1075993.76,1168975.67,1253301.86,1446850.64,1514719.19,2031519.19,2502935.69,2728192.96,2889340.84,,3456184.42,3433418.84,4256639.4
AC,1200435,Santa Rosa do Purus,,,,,,,,4024.7288,42867.8,95510.28,112840.24,857.7,237390.42,245913.22,362857.6,440635.47,551814.67,675128,826926,1075975.16,1169460.03,1260998.15,,1517191.13,2055040,2108777.71,2749383.98,2971534,,3484682.54,3585982.02,4293729
AC,1200450,Senador Guiomard,0.00025335,0.000589493,0.003599568,0,0,24.98148695,308.6771816,20159.4124,171877.3,377529.12,450308.22,519183.56,687757.4,657392.3,977072.77,1186557.01,1264216.02,1818128,2226340,,3147242,3388415.37,3897064.94,4078090.08,5153956.26,5298456.05,9317643.49,7175626,8045089.69,8762157.78,8868950.26,10791480
AC,1200500,Sena Madureira,0.000784967,0.001649911,0.010798703,0,0,56.71073655,371.9123641,20166.6925,171555.5,382041.21,458801.69,515374.66,791312.84,845196.72,1228610.98,1525883.07,1911939.41,2337683.65,2864279.82,3724420.68,4046454.19,4463161.77,4586759,5243258.65,6274937.59,6446454.86,8415130.32,8730344.65,,10660625.26,10790855.78,13129634.19
AC,1200609,Tarauacá,0.000709308,0.001701708,0.010798703,0,0,55.80209745,310.4975829,20159.4124,160963.6,392633.24,451360.38,511982.32,642672.23,657392.25,1012014.87,1186500.14,1487064.03,1817653.47,2226340.54,2896771.66,3147242.15,3471348,,4078090.08,5097380.31,5239584.32,6844490.19,7095896.57,7955699.82,8664800.46,8770406.38,10671574.84
AC,1200708,Xapuri,0.000601743,0.001506036,0.009780257,0,0,50.56505636,,18147.0479,128729.6,286680.81,0,383958.24,540196.14,565481.47,741482.39,1083121.47,1274626.28,1558455.77,1908291.87,2505797.75,2697636.13,2935797.06,3341363.2,3495505.77,4480314.19,4606713.15,6013552.03,6238807.95,6994758.56,7618209.43,7711059.57,9382592.49
AC,1200807,Porto Acre,,,,0,0,0,0,0,42870.9,95570.4,113482.04,128087.15,238160.28,244692.8,350273.88,383811.23,563588.41,675330.86,826926.49,1075943.76,1168975.67,1258434.48,0,1514719.19,1904223.82,1830416.88,2683468.5,2650995,2972213.69,3237130.52,3276584.38,3986852.4
AL,2700102,Água Branca,0.000220222,0.000813578,0.001543752,0,4.015490073,15.41432655,126.7309806,4861.9264,62134.6,154345.3,177810.24,221695.95,,,331222,426182,462516.93,536517.32,633789.05,719166.48,1067453.16,1170440.93,1200274.24,1220505.97,1470488.6,1631900.7,1795016.88,1981454.49,2222037.45,2397778.23,3061084.02,2962125
AL,2700201,Anadia,0.000873175,0.002153465,0.003206027,0,9.496606909,38.52770658,260.4141067,9593.4763,115889.8,317990.69,371565.29,421381.29,396766,398168,485102,503869,575482.13,835961.73,873262.41,769637.45,1021046.62,1176706.27,1337249.66,1448165.29,1730167.58,2112158.16,2254359.51,2572615,2699023.1,2527019.69,3417539.89,3560821
AL,2700300,Arapiraca,0.006471552,0.015410335,0.03359653,0,69.27347022,286.3246948,1893.016717,98920.4627,1168602.8,3287393.01,4209747.53,4524952.45,3745109.72,3729631.57,4946625.84,6258441,5857152.46,6756130.66,7032294.35,7962812.45,11238353.41,14120295.41,16433887.16,16224159.23,22098697.24,28260871.29,31633869.37,32158150.01,34698725.98,41769618.06,53207522.24,51953046
AL,2700409,Atalaia,0.004511761,0.010807185,0.019984995,0,4.406329673,2.971868509,0,55835.3044,567077.5,1246357.96,1413252.25,1400686.92,1332542,1081337,1650382,1682404,1312159,2432612,3096341,2968789,3539313,3926670.65,,5426625.45,6332055.31,7038038.26,6737018.68,6859054,6976207.01,5788866.61,7188081.55,7775129
AL,2700508,Barra de Santo Antônio,0.000580515,0.001440157,0.003622347,0,3.883373709,15.17643444,58.70514207,6092.0197,126164.5,208709.55,203689.52,253796.36,,,435980.48,502137.8,494707.33,549530.29,636937.34,601931.17,648855.53,726260.71,1105747.04,1179731.5,1353932.16,1469961.28,1671893.89,1922986.29,2025134.38,2132897.21,2570948.18,2459534
AL,2700607,Barra de São Miguel,0.000289373,0.000721276,0.001272038,0,2.068592909,8.149612218,100.1500016,4154.1782,50205.9,169694.59,200385.92,180016.94,205043.64,192950.61,272118,343286,366116.12,459648.82,564434.42,582902.62,764247.63,838231.65,1014543.44,1097673.71,1314430.84,1421323.72,1518796.29,1628431.88,1793189.82,1843576.57,2217825.32,2393746
AL,2700706,Batalha,0.000331344,0.001767262,0.00294626,0,11.83378065,45.41464713,367.8880108,17761.9258,80910.4,517904.02,424974.45,299489.71,,,522777.41,548962.98,457622.64,571224.79,734795.37,,906845.42,920602.79,1204674.17,1179206.52,1577084.2,1835626.35,1666127.6,2037141.06,2321830.1,2164697.34,3316669.9,3724071
AL,2700805,Belém,9.41E-05,0.00033854,0.000625675,0,1.413782,5.642369382,67.00536185,2965.3453,37741.8,209032.04,173770.37,,189334.19,175113.22,234975.76,262606.96,280724.18,326492.53,,,453598.75,487007.51,,,883002.58,971111.58,,1128894,,,,
AL,2700904,Belo Monte,6.26E-05,0.000344553,0.000637523,0,1.341714364,8.983529127,116.7071144,4274.1926,55304.8,114027.37,120741.22,178511.96,287629.96,247875.42,282494.04,373060,433496.93,511541.57,651664.52,735423.46,966453.95,979612.51,1145067.89,1102040.97,1281943.42,1439961.81,1636120.65,1809630.05,2030183.01,2050136.4,3038729.65,3519781
AL,2701001,Boca da Mata,0.002733393,0.006573487,0.02033478,0,22.6202124,89.03111775,835.5204212,29191.175,222032.1,605963.71,675018.04,824720.25,,,1939455,1478836,1981929,3218673.08,3392227,,2514512.26,2752501.3,3204479.12,2799443.83,3982216.84,3589412.56,5791893.06,7523682.72,10720006.14,10560841.57,9917305.81,7973937
AL,2701100,Branquinha,0.000757249,0.001822149,0.002634416,0,4.886758436,19.27466651,100.1020443,4705.1845,55785.3,124582.42,138353.0799,151028.18,,,425686,410888.46,359381.5,483894.68,682124.32,631740.83,780584.6,874671.16,1050309.94,1019180.39,1233068.35,1380998.54,1854181.09,1540637.83,1781455.48,2150954.02,2744727.28,2785266
AL,2701209,Cacimbinhas,0.00041832,0.001009134,0.001837486,0,2.242319855,8.818227418,73.4982612,3794.2515,76411.6,122340.22,138812.67,,261992,251670,351414,367297,324283.32,464453.78,536941.59,577727.06,747305.1,856178.23,,990458.11,1191883.13,1280109.28,1458056.48,1651509.42,1847550.67,1875403.14,2757894.39,3038323
AL,2701308,Cajueiro,0.002250634,0.005446343,0.013451999,0,0.033557091,27.00075305,266.0809424,12344.4853,168711.9,335003.49,413525.34,432045.14,291124,324205,464907.65,567586,622698.37,835235.72,936193.92,,867756.92,962299.83,979102.2,1116518.96,1451002.69,,,3376616,4565577.47,4642172.2,4778708.36,4936158
AL,2701357,Campestre,,,,0,0,0,0,0,0,0,0,78795.01,,,217690,277521,358419.99,393807.35,478334.67,498521.31,692886.73,654176.0699,764714.2,813232.33,1014090.75,1144358.67,1205977.25,1249261,1416417.13,1460436.54,1838719.29,2073448
AL,2701407,Campo Alegre,0.002571865,0.004949893,0.006388033,0,18.51838945,84.27347025,618.1322984,37719.3594,329366.2,1078612.15,1496947.22,862083.11,1184216.96,1394613.42,1127073.25,913998.31,1786406.65,3017012.62,3413477.18,3052640,3070435.81,3398138.32,4382179.06,4037222.76,4185580.32,4586628.66,7479369.88,11044526.93,,10269049.77,,
AL,2701506,Campo Grande,2.55E-05,0.000439561,0.000689103,0,1.895898073,7.852918218,72.77071618,3278.8372,48708.6,123117.7,129847.56,,,,246914.58,270925.65,292429.67,399023.81,473407.72,440290.36,559805.36,693457.9,840536.95,910712.28,1161187.6,1161581.33,1562878.24,1754459,,,,3624614
AL,2701605,Canapi,,0.000702363,0.001194928,0,2.955023564,11.61886622,104.6559903,4936.4232,67885.7,176819.52,202070.23,261466.17,,,421403.89,382127.98,412505.15,576561,592707,774582.53,945344.06,1115211.95,1251396.7,1057959.07,1553408.35,1600824.64,1831117.54,1969798,2208459.98,2305568.91,,3686322
AL,2701704,Capela,0.001918581,0.004582159,0.011854068,0,0,36.6299764,248.5154905,12087.633,157669.2,316026.08,157669.28,361134.67,342111,472801,681104.01,566795,474721,774811,917215,969676.93,1229292.09,1285260.07,1408546.93,1525387.93,1964454.17,2264074.18,2552238.52,2762374.05,2876170.31,3562652.08,4692851.96,4439973
AL,2701803,Carneiros,0.000127557,0.000339742,0.001668814,0,1.554356509,6.037686727,70.35143895,3276.2964,36871.4,89235.6799,98531.94,137195.59,172312.49,161663.33,220026.39,228327.99,297828.45,352686.86,418430.05,467367.29,623540.9399,655756.91,593846.79,811014.12,975915.74,,,,,1485611.88,,
AL,2701902,Chã Preta,0.000107582,0.000506607,0.001672272,0,2.085493018,7.947758655,0,3515.7162,42535.9,108224.29,128372.89,153577.4,205123,,270004,256738,337405.8,375395.4,467531.87,514979.01,653597.73,724502.56,862781.73,905561.12,1062669.6,1151881.17,,1427566,1754205.42,1592902.44,2428447.61,2117252
AL,2702009,Coité do Nóia,0.00010025,0.00059019,0.000932368,0,0,8.423542836,81.40375862,3724.4475,45335.9,111879.16,164664.07,144761.02,,,208004.86,287658.68,325458.4,380456.15,445014.77,493198.05,634428.27,676695.85,771242.22,815688.59,1217880.17,1356951.87,1198946.98,1271088.5,1540869.24,1740732.42,2022239.16,2143466
AL,2702108,Colônia Leopoldina,0.001563548,0.003758622,0.00661667,0,10.98070251,44.05798698,218.7385612,12588.7713,131270,156058.24,238945.79,431722.58,,,617572,824792,883312.11,1006359.54,1100553.96,999161.92,1335603.32,1603374.97,2208353.75,2135729.45,2561850.51,3401424.75,3550714.51,3533436.53,4475303.26,4576682.23,5314068.39,
AL,2702207,Coqueiro Seco,9.66E-05,0.000334631,0.000612827,0,1.5379528,0,64.98056076,3136.6765,69459.4,133535.98,135343.56,130253.17,,,197683,258928,285361.32,349140.68,414491.11,452158.78,535059.74,608661.35,727303.05,777410.71,923866.12,1064736.3,1113110.88,1169359.52,1277947.37,1332962.56,1613983.27,1574298
AL,2702306,Coruripe,0.005892254,0.020506941,0.03195078,0,77.21318622,310.4867491,2460.485157,136651.2889,709712.3,0,4528764.41,5573088.68,,,8130630.26,7521154,8362304.66,11659999.75,12861063.27,13793808.99,15355348.48,15365277.18,17316969.51,14300576.68,14464842.31,17374416.75,19129414.29,22542429.45,26017694.73,27215605.82,30592706.9,30493649
AL,2702355,Craíbas,0.000101261,0.000838833,0.002193385,0,2.011976436,13.59854324,149.9015601,4713.6763,80910.4,160390.81,0,264959.7,299140.71,294227.96,373626.52,388398.83,362463.09,431643.03,603414,650599,773625,887611.3,1048535.42,1082213.13,1382039.21,1527722.52,1646073.57,1797003,1996986.85,2175504.18,2969139.72,3628174
AL,2702405,Delmiro Gouveia,0.002544305,0.006130685,0.010875352,0,0,94.29970465,430.8243929,18084.4168,216834.7,456633.49,465191.61,952619.86,1200342,1348721,2865641,5085148,7438428.27,2990529.87,3849324.52,9048253.99,12658212.27,13212547.52,15842863.12,19034922.99,25356015.75,26852766.91,28034349.87,29682752.46,26574410.82,25456300.09,16791838.83,14143272
AL,2702504,Dois Riachos,9.75E-05,,0.003574969,0,1.940004,7.417813673,74.27547167,3628.4268,76411.6,110477.95,124679.67,,,,210135.22,253071.22,331108.32,447653.12,455805.38,513083.36,640594.03,669881.62,830123.01,863949,1045855.55,1154774.84,1254029.71,1327375.67,1464511.42,1522590.17,2521262.31,3454000
AL,2702553,Estrela de Alagoas,,,,0,0,0,0,4558.0902,51607.9,132649.21,167457.6,180056.13,212071.69,246828,267506.27,344884,382212.89,449150.34,509573.8,570750.28,645414.36,735146.0699,958502.42,1010328.42,1224778.36,1378296.43,1461863.51,1596039.86,1744873.06,1786410.01,2581563.13,2903483
AL,2702603,Feira Grande,0.00013236,0.001085672,0.001715579,0,4.292108946,0,268.8349701,5909.8077,69734,163131.51,199443.35,241659.94,238352,211581,265102,345226,380058.43,453508.14,545124.14,589730.97,783067.17,789999.67,941693.19,964502.5,1188164.25,1374306.64,1588398.18,1698376,1720228.34,1800904.43,2482380.27,3049615
AL,2702702,Feliz Deserto,0.000172309,0.000798244,0.000981777,0,2.931257818,11.54317331,64.47780982,3347.7561,45174.5,118035.43,148818.29,138708.64,183465,173631,228054,317539,814599.11,1196066.77,1212498.33,2169960.64,3008545.95,2303410.46,2345333.52,1949985.15,2260411.76,2283042.31,2537479.11,2844441.81,3208736.55,3559563.93,3790483.81,3711319
AL,2702801,Flexeiras,0.001308561,0.003142755,0.005038642,0,9.650880146,38.04110909,258.7910537,10962.7014,130085.1,346948.23,352111.69,362691.85,528822,404970,449561,587062,691802,720671,780340,796807,1080313,1244295,1395720.11,1526272,1852832.18,2170824.94,,,,,,
AL,2702900,Girau do Ponciano,0.000336579,0.001216423,0.00215372,0,4.517201964,17.74321509,196.6637744,7200.0017,88853.5,257435.86,334690.1,372619.04,,,473902.11,440742.66,557163.49,660784.55,787914.52,658021.46,997582.66,1200925.54,1427759.76,1549915.53,2932510.99,3152519.32,3061831.04,2706236,2548504.31,2640169.17,3834877.17,4650973
AL,2703007,Ibateguara,0.000395438,0.001125359,0.001746981,0,3.687233055,55.30357029,231.0746457,5265.4631,63757,0,263722.7199,227613.4,,,381676,457802.04,387430.53,451485.52,598929.97,807451.87,773095.68,681652.3199,1021191.28,1044448.76,1629357.44,2191546.24,1915572.26,1655562.6,2193663.11,2460774.88,3006395.38,3359511
