Sigla,Código,City,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AC,1200013,Acrelândia,,,,,0,0,0,0,266.6085,4915.7,3271.35,32723.94,12859.36,4497.91,21248.14,25267.52,11238.57,185960.77,75272.45,45578.74,,122513.46,136291.9,228336.84,372766.38,398172.52,281814.49,609663.35,527515.5,416014.82,275476.14,272503.35,810875.1
AC,1200054,Assis Brasil,6.51E-06,1.59E-06,7.52E-05,4.78E-05,0.002177164,0.055561382,0.649285636,2.335377091,597.0064,2666.5,16645.91,6473.84,9508.51,4787.65,9531.28,6727.51,39258.21,54036.29,57111.83,110292.5,320538.9,421914.84,476935.54,521157.93,401306.89,489834.12,396166.44,323647.13,281888.3,426980.05,401946.79,243231.42,469455.82
AC,1200104,Brasiléia,5.17E-06,4.40E-05,0.000133352,0.000460878,0.014258691,0.731190655,6.761542982,18.31450636,1030.2872,15033.3,42430.2699,59701.21,95977.78,126245.3,79863.48,167254,135025.48,253278.69,319292.27,285779.01,407731.94,1136033.35,529523.98,439664.97,534804.24,563709.16,509270.74,1283972.65,990059.87,966194.58,916340.41,970478.66,1376878.27
AC,1200138,Bujari,,,,,0,0,0,0,1468.3083,9646.7,39254.53,153032.85,81430.98,42256,30358.82,35396.43,40993.35,45609.07,39005.88,58629.13,122404.88,124980.02,236627.39,177414.3599,191533.68,464918.74,288048.19,381080.46,236959.9,309623.89,290878.26,206932.33,38864.57
AC,1200179,Capixaba,,,,,0,0,0,0,404.8882,0,62730.49,24176.41,5560.25,,,16947.77,27078.57,29805.08,33211,53600.61,49319.88,42185.37,235003.04,68583.52,144020.12,310288.96,270180.4,467580.14,452829.4,417655.84,418246.35,619702.52,610496.3
AC,1200203,Cruzeiro do Sul,0.000101243,0.000155897,0.00038523,0.001730262,0.066917236,2.859513418,19.06614535,230.6292244,18748.7036,83740.9,204000.65,203785.34,271111.97,312500.15,344492.16,375068.27,516509.4,799300.1,886846.3,1026839.7,1441008.22,1469051.38,2760217.3,3097597.65,4818478.16,9204103.73,8632148.05,10139467.29,10606263.05,6961161.36,5075189.13,5496063.82,665484.98
AC,1200252,Epitaciolândia,,,,,0,0,0,0,674.1328,25691.5,34915.24,34402.58,20824.61,33879.6,21356.47,90555.62,140899.83,178831.82,178280.39,145586.33,,307352.43,391318.93,438421.22,527679.03,628068.81,670985.03,1024519.53,739219.26,,1095370.12,962823.91,1126464.95
AC,1200302,Feijó,2.33E-06,1.51E-05,1.44E-05,3.73E-05,0.0086008,0.238733818,0.915488073,8.214030327,979.1732,6353.8,29725.52,46077.19,43338.53,53645.77,80427.23,109610.69,,,269525.95,263946.95,393547.32,517630.78,642269.3,542518.4399,3386813.97,717641.65,129658.76,,1117549,1340000,1120462.1,1604824.77,2259588.68
AC,1200328,Jordão,,,,,0,0,0,0,0,1185.6,3320.44,5778,7683.95,309.33,4213.14,12766.82,20199.49,36707.73,21778.15,26281,107662.25,251246.51,110359.19,104380.19,396113.96,424394.42,338344.42,296663.87,207359.5,366282.46,276492.78,389533.54,438137.4
AC,1200336,Mâncio Lima,1.71E-06,3.51E-06,1.54E-05,7.42E-06,0.0002676,0.057868036,1.356626509,1.973649746,,1428.4,3809.99,4783.87,9545.97,9542.17,11376.09,16043.39,23617.17,39787.85,55146.54,85501.99,106886.06,116802.65,217325.07,242932.14,266282.99,444751.01,640201.34,977209.53,594185.3,593894.44,504462.41,554731.25,518013.53
