Sigla,Código,City,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AC,1200013,Acrelândia,,,,,0,0,0,0,37288.9741,361997.7,796139.86,958703.76,1153884.06,1963927.55,1854113.33,2111104.34,3885875.08,4523499.32,4554480.78,5328065.39,,8738552.05,10474304.64,13504079.77,13927889.33,15467139.99,17496001.85,19593880.74,20158342,20492509.6,23084087.81,25918663.14,22587665
AC,1200054,Assis Brasil,0.000369189,0.001173277,0.00337646,0.022771519,0.340525091,17.76116829,84.85283215,833.1661261,40891.5107,360305.6,771320.71,914453.24,1100373.46,1465428.45,1686912.46,1913736.27,2476396.86,4253643.06,3415532.34,4637119.59,6765261.41,7897332.08,9207974.44,9500929.78,9664982.98,11271626.41,11446742.51,13111691.31,13464548,14308879.27,15301822.55,16445292.73,17175511.42
AC,1200104,Brasiléia,0.000750515,0.002738389,0.007540322,0.050338295,0.831805636,40.63493244,220.9323954,2160.048365,118039.3271,864758.5,2022238.37,2429190.67,3251324.22,4693311.74,4301690.97,5328019,6525309.97,8086868.52,9406351.23,11513291.94,14264140.39,15325565.83,17855554.81,21019863.04,22071739.11,23744509.77,27059937.5,30463956.4,30843191.82,36152086.19,39542126.04,45099361.88,46898895.48
AC,1200138,Bujari,,,,,0,0,0,0,38110.4532,382286.5,700630.96,1092512.8,1066077.55,1422130.37,1778507.51,2141456.93,2664238.24,3000816.42,3540508.11,4205885.23,5555914.3,6095884.3,7120858.32,9241456.72,8467498.37,10185880.75,11735780.56,12742648.41,14338735,16299648.56,16419808.7,19624194.01,19441114
AC,1200179,Capixaba,,,,,0,0,0,0,35965.2113,0,662636.36,801531.26,875714.08,,,1983080.41,2485170.05,3270783.03,3847942,4519645.93,6043173.94,7978473.45,8281586.59,9725784.63,10140822.88,10378550.91,12594934.01,13770102.94,15755642.86,16130796.76,17348625.62,21469234.41,20754058
AC,1200203,Cruzeiro do Sul,0.001287455,0.004899756,0.013653122,0.089074354,1.369488909,62.2801644,316.9661993,4190.60033,349602.1679,2823166,4938156.42,6482090.84,6047237.09,10218795.04,11198589.37,13582400.9,14858064.16,20424348.38,22969110.96,26908878.36,33128008.26,38163358.78,41735571,49010470.43,48602360.1,57459966.67,70919869.56,76120172.26,81253615.08,95584226.89,99920895.56,117868213.2,121520256.2
AC,1200252,Epitaciolândia,,,,,0,0,0,0,138358.5979,358610.1,823292.81,1193228.92,1165323.33,1930638.87,2080592.51,2979185.81,3866727.14,4197508.89,5116697.51,6570110.88,,9192064.21,10371293.74,11263256.8,12383568.78,15233123.4,18009874.48,19717681.81,20460363.8,,23801485.04,27488627.7,28907111.4
AC,1200302,Feijó,0.000896717,0.0028507,0.007763742,0.049695921,0.759204327,35.18795596,178.0129201,2036.308382,116063.8961,818220.4,1690276.46,2160761.45,2341632.78,3637142.09,4423927.39,5528149.29,,,10290552.92,11653262.26,16280216.17,19584956.36,21609628.56,28144883.52,25290961.95,11144257.95,13014094.59,,37174168,42252500,42354783.33,46692548.5,48044168.25
AC,1200328,Jordão,,,,,0,0,0,0,40590.227,316668.4,692400.96,754831.03,874027.58,1598255.42,1998975.04,2486146.42,2986302.91,3868685.13,4168910.85,5394254,7047568.9,7086587.48,10421576.46,11433751.38,10747062.08,13359298.83,16041612.78,17717755.06,18591229,19139415.1,21096348.99,22932049.45,25366652
AC,1200336,Mâncio Lima,0.000367263,0.001453982,0.003413484,0.021212642,0.327173309,13.94669876,72.89432985,898.8181023,,411184,865281.73,1088582.76,1102971.5,1720376.52,2055413.07,2278095.29,3099439.97,5138655.09,5460071.6,6465963.05,8589127.2,8099675.01,11197384.32,14721352.03,15003171.59,19435123.24,22165432.5,25265636.73,25385045.36,29066612.14,30440165.2,36392388.32,35901643.45
