"ID","year","fed","sta","mun","tot","fPI","sPI","mPI","tPI","fUS","sUS","mUS","tUS","icms_e","icms_e1","agr","ind","ser","pop","inc","arpa","comp","ama","cer","caa","mat","pan","pam"
"RO",1991,9.81745288,5.50983201,0.00164569,15.32893057,6.87296284,4.38794815,0.00164569,11.26255667,2.94449004,1.12188386,0,4.0663739,0,0,15.76334994,20.0218209,64.21482916,4.7674119,3.45659861,0,0,1,0,0,0,0,0
"RO",1992,9.81745288,5.50983201,0.00164569,15.32893057,6.87296284,4.38794815,0.00164569,11.26255667,2.94449004,1.12188386,0,4.0663739,0,0,16.1621503,22.30254259,61.53530711,5.01172717,3.42724473,0,0,1,0,0,0,0,0
"RO",1993,9.81745288,5.50983201,0.00164569,15.32893057,6.87296284,4.38794815,0.00164569,11.26255667,2.94449004,1.12188386,0,4.0663739,0,0,16.85452074,24.4514953,58.69398397,5.22618857,3.66142844,0,0,1,0,0,0,0,0
"RO",1994,9.81745288,5.50983201,0.00164569,15.32893057,6.87296284,4.38794815,0.00164569,11.26255667,2.94449004,1.12188386,0,4.0663739,0,0,17.39877072,25.21795752,57.38327176,5.43461858,3.71843842,0,0,1,0,0,0,0,0
"RO",1995,9.81745288,8.53108857,0.00164569,18.35018714,6.87296284,4.54132967,0.00164569,11.41593819,2.94449004,3.9897589,0,6.93424895,0,0,14.4421736,23.40163477,62.15619163,5.63788003,3.96559696,0,0,1,0,0,0,0,0
"RO",1996,9.81745288,9.18795393,0.00164569,19.0070525,6.87296284,3.64332677,0.00164569,10.51793529,2.94449004,5.54462716,0,8.4891172,0,1,13.83219044,26.27005584,59.89775371,5.17405265,4.01996916,0,0,1,0,0,0,0,0
"RO",1997,9.82007504,9.36708984,0.00164569,19.18881057,6.87296284,3.82246268,0.00164569,10.69707121,2.9471122,5.54462716,0,8.49173936,0,1,13.94958259,25.24999458,60.80042282,5.28439374,4.08252652,0,0,1,0,0,0,0,0
"RO",1998,12.5458148,9.36708984,0.00164569,21.91455033,6.87296284,3.82246268,0.00164569,10.69707121,5.67285196,5.54462716,0,11.21747912,0,1,13.23921438,25.53092014,61.22986547,5.37131218,4.04399123,0,0,1,0,0,0,0,0
"RO",1999,12.78116086,9.36708984,0.00164569,22.14989639,6.87296284,3.82246268,0.00164569,10.69707121,5.90819802,5.54462716,0,11.45282518,0,1,17.46229115,23.0803885,59.45732035,5.45836531,3.89844242,0,0,1,0,0,0,0,0
"RO",2000,12.78136289,9.36708984,0.00164569,22.15009842,6.87296284,3.82246268,0.00164569,10.69707121,5.90840005,5.54462716,0,11.45302721,0,1,16.53530142,25.21113596,58.25356261,5.54573411,4.01447415,0,0,1,0,0,0,0,0
